Reporting Entity,Facility Name,Type,Electricity Production GJ,Greenhouse Gas Emissions Scope 1 t CO2 e,Greenhouse Gas Emissions Scope 2 t CO2 e,Greenhouse Gas Emissions Total Emissions t CO2 e,Important notes
ACCIONA ENERGY OCEANIA PTY LTD,Gunning Wind Farm,F,622579,31,375.0,406,N/A
ACCIONA ENERGY OCEANIA PTY LTD,Waubra Wind Farm,F,2506981,73,1173.0,1246,N/A
ACCIONA ENERGY OCEANIA PTY LTD,Corporate Total,C,3129560,104,1548.0,1652,N/A
AGL ENERGY LIMITED,Banimboola Hydro,F,94469,16,20.0,36,N/A
AGL ENERGY LIMITED,Bogong Power Station,F,356830,83,881.0,964,N/A
AGL ENERGY LIMITED,Burrendong Hydro,F,56899,1,81.0,82,N/A
AGL ENERGY LIMITED,Cairn Curran Hydro,F,475,0,0.0,0,N/A
AGL ENERGY LIMITED,Clover Hydro,F,206726,0,44.0,44,N/A
AGL ENERGY LIMITED,Coopers Cogeneration,F,84644,18325,85.0,18410,N/A
AGL ENERGY LIMITED,Copeton Hydro,F,168951,1,86.0,87,N/A
AGL ENERGY LIMITED,Dartmouth Hydro,F,1287160,0,1409.0,1409,N/A
AGL ENERGY LIMITED,Eildon Hydro,F,663733,14,64.0,78,N/A
AGL ENERGY LIMITED,Glenbawn Hydro,F,23237,0,41.0,41,N/A
AGL ENERGY LIMITED,Glenorchy Landfill Generation,F,40373,614,1.0,615,N/A
AGL ENERGY LIMITED,Hallett (Stage 1) Wind Farm,F,1292065,104,199.0,303,N/A
AGL ENERGY LIMITED,Hallett (Stage 2) Wind Farm,F,967209,85,156.0,241,N/A
AGL ENERGY LIMITED,Hallett (Stage 4) Wind Farm,F,1743573,134,342.0,476,N/A
AGL ENERGY LIMITED,Hallett (Stage 5) Wind Farm,F,603982,63,179.0,242,N/A
AGL ENERGY LIMITED,Hobart Landfill Generation,F,18979,327,2.0,329,N/A
AGL ENERGY LIMITED,Kincumber Landfill Generation,F,17803,271,4.0,275,N/A
AGL ENERGY LIMITED,Loy Yang Power Station and Mine,F,57957589,18480990,253122.0,18734112,N/A
AGL ENERGY LIMITED,Macarthur Wind Farm,F,3838563,1114,2358.0,3472,N/A
AGL ENERGY LIMITED,McKay Creek Hydro,F,434993,1,5657.0,5658,N/A
AGL ENERGY LIMITED,Moranbah Power Station,F,239879,35895,46.0,35941,N/A
AGL ENERGY LIMITED,Oaklands Hill Wind Farm,F,607814,63,488.0,551,N/A
AGL ENERGY LIMITED,Pindari Hydro,F,5065,0,49.0,49,N/A
AGL ENERGY LIMITED,Rockingham Landfill Generation,F,69427,1001,14.0,1015,N/A
AGL ENERGY LIMITED,Rubicon Hydro Scheme,F,146393,0,133.0,133,N/A
AGL ENERGY LIMITED,Shoalhaven Landfill Generation,F,24014,353,2.0,355,N/A
AGL ENERGY LIMITED,Somerton Power Station,F,40907,8595,2168.0,10763,N/A
AGL ENERGY LIMITED,Suncoast Biomass Generation Plant,F,4147,57,63.0,120,N/A
AGL ENERGY LIMITED,Torrens Island Power Station,F,6241443,1014877,15211.0,1030088,N/A
AGL ENERGY LIMITED,Wattle Point Wind Farm,F,1065059,51,192.0,243,N/A
AGL ENERGY LIMITED,Werribee Biogas Generator,F,182436,2419,1695.0,4114,N/A
AGL ENERGY LIMITED,West Kiewa Hydro,F,386469,0,1506.0,1506,N/A
AGL ENERGY LIMITED,Wilpena Pound Solar Generation,F,3043,590,0.0,590,N/A
AGL ENERGY LIMITED,Woy Woy Landfill Generation,F,30955,471,4.0,475,N/A
AGL ENERGY LIMITED,Yarrawonga Hydro,F,159209,0,32.0,32,N/A
AGL ENERGY LIMITED,Corporate Total,C,79064513,19566515,286334.0,19852849,N/A
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Anglesea Power Station,F,4463866,1337535,379.0,1337914,N/A
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Corporate Total,C,4463866,1337535,379.0,1337914,N/A
ALINTA COGENERATION (PINJARRA) PTY LTD,Alinta Pinjarra Generation Facility,F,4598627,1131711,351.0,1132062,N/A
ALINTA COGENERATION (PINJARRA) PTY LTD,Corporate Total,C,4598627,1131711,351.0,1132062,N/A
ALINTA COGENERATION (WAGERUP) PTY LTD,Wagerup Power Station,F,187299,31611,6231.0,37842,N/A
ALINTA COGENERATION (WAGERUP) PTY LTD,Corporate Total,C,187299,31611,6231.0,37842,N/A
ALINTA ENERGY FINANCE PTY LTD,Augusta Power Stations,F,7554644,2113556,9415.0,2122971,N/A
ALINTA ENERGY FINANCE PTY LTD,Bairnsdale Power Station,F,557588,80645,1020.0,81665,N/A
ALINTA ENERGY FINANCE PTY LTD,Braemar Power Station,F,5872925,919714,1172.0,920886,N/A
ALINTA ENERGY FINANCE PTY LTD,Newman Power Station,F,1999520,370743,0.0,370743,N/A
ALINTA ENERGY FINANCE PTY LTD,Port Hedland Power Station,F,1888427,404313,0.0,404313,N/A
ALINTA ENERGY FINANCE PTY LTD,Corporate Total,C,17873104,3888971,11607.0,3900578,N/A
APT PIPELINES LIMITED,Emu Downs Wind Farm,F,869699,96,417.0,513,N/A
